dim_process,seq_idx,seq_len,time_since_start,time_since_last_event,type_event
17,0,53,0.0,0.0,7
17,0,53,0.046762602623496005,0.046762602623496005,16
17,0,53,0.09320261514574901,0.046440012522252,14
17,0,53,0.17500825748485302,0.081805642339104,11
17,0,53,0.440308257483968,0.265299999999115,7
17,0,53,0.49041023590345106,0.050101978419483,9
17,0,53,0.5168822994718061,0.026472063568355002,16
17,0,53,0.613842553740042,0.09696025426823601,16
17,0,53,0.654238612744046,0.040396059004003004,16
17,0,53,1.428138612744186,0.773900000000139,3
17,0,53,2.363838612746002,0.9357000000018161,13
17,0,53,3.169138612753266,0.8053000000072641,1
17,0,53,3.230714445395202,0.061575832641936,14
17,0,53,3.249593426527698,0.018878981132496,10
17,0,53,3.322625126707393,0.073031700179694,7
17,0,53,3.602525126730583,0.27990000002318904,3
17,0,53,3.811425126728394,0.208899999997811,7
17,0,53,3.862941997589675,0.051516870861280005,1
17,0,53,3.9527894486107362,0.08984745102106101,3
17,0,53,3.975989448606732,0.023199999995995,1
17,0,53,4.009112908017692,0.033123459410959004,16
17,0,53,4.831012908027611,0.821900000009918,14
17,0,53,4.923542155439493,0.09252924741188201,16
17,0,53,4.980142155450296,0.056600000010803,1
17,0,53,5.148942155435209,0.16879999998491202,16
17,0,53,5.424842155443032,0.275900000007823,1
17,0,53,5.441106837707625,0.016264682264592,1
17,0,53,5.614306837726903,0.17320000001927802,14
17,0,53,5.688801461530188,0.074494623803285,16
17,0,53,6.2665014615245545,0.577699999994365,16
17,0,53,7.246601461510677,0.9800999999861231,16
17,0,53,7.333740762000161,0.08713930048948401,16
17,0,53,7.978840761994434,0.645099999994272,14
17,0,53,8.035229204655526,0.056388442661091005,16
17,0,53,8.405029204670473,0.369800000014947,4
17,0,53,8.853029204674431,0.448000000003958,14
17,0,53,8.85448463164804,0.0014554269736080001,16
17,0,53,9.003084631663034,0.14860000001499402,16
17,0,53,9.306284631657865,0.30319999999483105,1
17,0,53,9.37477033044027,0.068485698782405,0
17,0,53,9.424297024857283,0.049526694417013004,5
17,0,53,9.484079909242363,0.059782884385079005,16
17,0,53,9.542254533935877,0.058174624693513005,6
17,0,53,9.791254533946587,0.24900000001071002,8
17,0,53,10.270954533942815,0.47969999999622803,0
17,0,53,10.288639356219054,0.017684822276239,6
17,0,53,10.334340203665596,0.045700847446541,8
17,0,53,11.08424020368995,0.7499000000243541,8
17,0,53,11.176340203669787,0.092099999979836,6
17,0,53,11.205209671074053,0.028869467404267,16
17,0,53,11.556109671064414,0.35089999999036003,16
17,0,53,11.965009671073867,0.40890000000945204,16
17,0,53,12.890609671090724,0.925600000016856,5
17,1,60,0.0,0.0,15
17,1,60,0.058619364197533004,0.058619364197533004,3
17,1,60,0.05981936419632201,0.001199999998789,3
17,1,60,0.068319364192597,0.008499999996274,16
17,1,60,0.09931936418072201,0.030999999988125002,3
17,1,60,0.9026193641803031,0.80329999999958,16
17,1,60,0.9040193641885921,0.001400000008288,16
17,1,60,0.9125193641848671,0.008499999996274,16
17,1,60,0.9169193641901291,0.004400000005261,16
17,1,60,0.927619364203586,0.010700000013457,16
17,1,60,0.936919364179651,0.009299999976065001,10
17,1,60,0.9423193642033071,0.005400000023655,10
17,1,60,0.949719364205542,0.007400000002235001,10
17,1,60,0.956619364184028,0.006899999978486001,10
17,1,60,0.9679193641968801,0.011300000012852002,10
