case:concept:name,time:timestamp,concept:name,event_idx,log_ts_pre,trace_ts_pre,trace_ts_start
7544,2012-01-05 18:44:40.060000+00:00,2,141135,0.47061312586377546,0.0,0.0
7544,2012-01-05 18:44:40.060000+00:00,4,141136,0.0,0.0,0.0
7544,2012-01-05 18:44:40.187000+00:00,5,141137,0.011464521950701028,0.008079292229779302,0.008058835271397386
7544,2012-01-05 18:44:45.481000+00:00,9,141138,0.17639873547455806,0.12431193720862868,0.1253437216834451
7531,2012-01-05 18:44:47.076000+00:00,8,141139,0.09143930660301902,0.47643730937845513,0.6154778573593296
7531,2012-01-05 18:44:50.920000+00:00,7,141140,0.15128939491733667,0.10661685136630654,0.6155058984029299
7531,2012-01-05 18:44:50.920000+00:00,3,141141,0.0,0.0,0.6155058984029299
7203,2012-01-05 18:45:39.223000+00:00,7,141142,0.37377734798011375,0.35615666590440614,0.8422989746344688
7545,2012-01-05 18:45:54.090000+00:00,2,141143,0.2650628127374774,0.0,0.0
7545,2012-01-05 18:45:54.090000+00:00,4,141144,0.0,0.0,0.0
7545,2012-01-05 18:45:54.235000+00:00,5,141145,0.01298393580751779,0.009150055460901033,0.009126887304776425
7545,2012-01-05 18:45:59.555000+00:00,9,141146,0.17679403287144668,0.12459051168394196,0.1258040369554088
6428,2012-01-05 18:47:54.829000+00:00,15,141147,0.4560474740714451,0.9115798372995627,0.954617604078151
7546,2012-01-05 18:47:57.692000+00:00,2,141148,0.12958982511951042,0.0,0.0
7546,2012-01-05 18:47:57.692000+00:00,4,141149,0.0,0.0,0.0
7546,2012-01-05 18:47:57.837000+00:00,5,141150,0.01298393580751779,0.009150055460901033,0.009126887304776425
7546,2012-01-05 18:48:01.637000+00:00,9,141151,0.15041440851033003,0.10600022985258883,0.10773786447297837
7547,2012-01-05 18:49:38.091000+00:00,2,141152,0.43911629172161315,0.0,0.0
7547,2012-01-05 18:49:38.091000+00:00,4,141153,0.0,0.0,0.0
7547,2012-01-05 18:49:38.214000+00:00,5,141154,0.011123579758845242,0.007839023022453484,0.00781917443136847
7547,2012-01-05 18:49:42.131000+00:00,9,141155,0.15272369314759443,0.10762763180675912,0.10902051335625818
7545,2012-01-05 18:50:25.353000+00:00,9,141156,0.3633481210561427,0.3775107787634027,0.37792165375129083
7548,2012-01-05 18:51:35.379000+00:00,2,141157,0.4087830145678245,0.0,0.0
7548,2012-01-05 18:51:35.379000+00:00,4,141158,0.0,0.0,0.0
7548,2012-01-05 18:51:37.635000+00:00,5,141159,0.11319796274599953,0.07977300970536132,0.07957102256426896
7545,2012-01-05 18:51:54.736000+00:00,6,141160,0.27769397612082536,0.30436449525852477,0.39705762221238455
7545,2012-01-05 18:51:54.831000+00:00,7,141161,0.008702425950714732,0.006132784486451267,0.3970753262390268
7545,2012-01-05 18:51:55.934000+00:00,9,141162,0.07128117850306503,0.050233361154156955,0.397280539610322
7548,2012-01-05 18:52:14.406000+00:00,6,141163,0.28469493066772655,0.24540376088174362,0.24869270634880347
7548,2012-01-05 18:52:14.961000+00:00,7,141164,0.042333041702270285,0.029832994027907258,0.2496208933001306
7545,2012-01-05 18:52:31.902000+00:00,7,141165,0.2768426092013423,0.24395163201395917,0.4036514238479033
7312,2012-01-05 18:52:53.362000+00:00,7,141166,0.2983840192558506,0.6605117673987203,0.8167819293251589
7312,2012-01-05 18:53:57.899000+00:00,7,141167,0.4010704815052125,0.28264289071562776,0.8168056873448439
7443,2012-01-05 18:54:12.961000+00:00,7,141168,0.2662340840657652,0.6545019105078203,0.766692881997847
6428,2012-01-05 18:55:20.865000+00:00,15,141169,0.4058745039187612,0.4123897653453315,0.9546388506977216
6361,2012-01-05 18:56:03.162000+00:00,15,141170,0.3613210994585406,0.7675821288469096,0.9586694869787468
7549,2012-01-05 18:56:32.407000+00:00,2,141171,0.3269203647045015,0.0,0.0
7549,2012-01-05 18:56:32.407000+00:00,4,141172,0.0,0.0,0.0
7549,2012-01-05 18:56:32.532000+00:00,5,141173,0.011294202384716,0.007959264412487009,0.007939111367367937
7545,2012-01-05 18:56:50.102000+00:00,7,141174,0.28014685773736464,0.3755583931896427,0.43730058965861823
7545,2012-01-05 18:56:52.444000+00:00,7,141175,0.11569781046689342,0.08153470551386509,0.43754043420006283
7549,2012-01-05 18:57:06.993000+00:00,6,141176,0.2631215072462417,0.24113918965374592,0.24076580270784823
7549,2012-01-05 18:57:07.369000+00:00,7,141177,0.030606206142105793,0.021568843823603,0.24147425970031663
7545,2012-01-05 18:57:42.776000+00:00,10,141178,0.34470124456820406,0.2661341252748845,0.44249885041897036
6361,2012-01-05 18:57:49.279000+00:00,15,141179,0.19324717817293666,0.31584326559914666,0.9586742474648482
7545,2012-01-05 18:59:43.137000+00:00,12,141180,0.45487254560097745,0.3242799414092323,0.45305842594475065
7545,2012-01-05 18:59:43.137000+00:00,11,141181,0.0,0.0,0.45305842594475065
7545,2012-01-05 18:59:44.886000+00:00,13,141182,0.09696742519685969,0.0683350050096759,0.45320030527320665
7545,2012-01-05 18:59:44.911000+00:00,14,141183,0.002367771915954414,0.0016686191822669412,0.453202331116302
7545,2012-01-05 18:59:45.008000+00:00,15,141184,0.008877407551168339,0.006256097738497744,0.4532101908111356
7545,2012-01-05 18:59:46.700000+00:00,7,141185,0.09495826374971361,0.06691910624493877,0.45334714260219877
5947,2012-01-05 19:00:36.470000+00:00,15,141186,0.3765889064831281,0.916540992604032,0.9805400648156852
7545,2012-01-05 19:00:46.319000+00:00,15,141187,0.22860849012423948,0.27737155173970157,0.45800326759044097
7443,2012-01-05 19:02:26.995000+00:00,10,141188,0.44318306014483216,0.41928162402843866,0.767074241567952
5947,2012-01-05 19:03:20.246000+00:00,15,141189,0.38294792094114655,0.34494574902514835,0.9805453761105124
7545,2012-01-05 19:03:23.224000+00:00,16,141190,0.1324027643326718,0.34206747333107795,0.46891134886053065
7545,2012-01-05 19:03:23.224000+00:00,11,141191,0.0,0.0,0.46891134886053065
7545,2012-01-05 19:03:24.418000+00:00,13,141192,0.07534321475347255,0.05309596441455653,0.46898794413535916
7545,2012-01-05 19:03:24.457000+00:00,14,141193,0.003668623713262107,0.002585357085798961,0.4689904445237369
7545,2012-01-05 19:03:24.550000+00:00,15,141194,0.00852712445684644,0.006009245798718003,0.4689964066140535
7545,2012-01-05 19:03:26.915000+00:00,15,141195,0.11635547443750213,0.08199817528874041,0.46914784625737166
5947,2012-01-05 19:03:35.275000+00:00,15,141196,0.21445249387885376,0.18748183669350957,0.9805458634836105
7545,2012-01-05 19:03:36.791000+00:00,15,141197,0.08847475770292118,0.16127322788534523,0.46977659137434674
6656,2012-01-05 19:04:28.907000+00:00,15,141198,0.3809204994792602,0.7662360963487903,0.9394846239410026
7443,2012-01-05 19:05:09.253000+00:00,12,141199,0.356899840327207,0.34432032264329426,0.7671990241256604
7443,2012-01-05 19:05:09.253000+00:00,11,141200,0.0,0.0,0.7671990241256604
7443,2012-01-05 19:05:10.436000+00:00,13,141201,0.0748612449040442,0.052756310020224254,0.767199933049825
7443,2012-01-05 19:05:10.465000+00:00,14,141202,0.002741248105472292,0.0019318157890643893,0.7671999553309905
7443,2012-01-05 19:05:10.573000+00:00,15,141203,0.009834140018336471,0.006930327437843945,0.7672000383090589
7443,2012-01-05 19:05:11.771000+00:00,7,141204,0.07551787762588008,0.053219053052176245,0.7672009587441161
7486,2012-01-05 19:05:46.905000+00:00,7,141205,0.343979499246857,0.7003777683269949,0.7164010398918268
6656,2012-01-05 19:05:51.094000+00:00,15,141206,0.15788663613103165,0.2987580745056357,0.9394895248776282
5947,2012-01-05 19:05:55.743000+00:00,15,141207,0.1660312873399748,0.33463955568767967,0.9805504185281041
6807,2012-01-05 19:06:42.458000+00:00,15,141208,0.37063799761344746,0.7705176272353006,0.914690339800474
5728,2012-01-05 19:08:07.707000+00:00,15,141209,0.4274041077492757,0.6916789359629518,0.9906143039539861
5728,2012-01-05 19:08:23.080000+00:00,15,141210,0.2680730031279045,0.18891674162239666,0.9906147333076081
6532,2012-01-05 19:08:29.328000+00:00,15,141211,0.18993155777715348,0.6870775047612825,0.9490232962841721
6532,2012-01-05 19:09:20.443000+00:00,15,141212,0.3790961573062127,0.26715711751731536,0.9490259421811358
6887,2012-01-05 19:09:25.742000+00:00,15,141213,0.17647488086920457,0.6261074852724084,0.9071775478856774
7550,2012-01-05 19:10:36.605000+00:00,2,141214,0.40990641463767796,0.0,0.0
7550,2012-01-05 19:10:36.605000+00:00,4,141215,0.0,0.0,0.0
7550,2012-01-05 19:10:37.178000+00:00,5,141216,0.043436645973414886,0.03061072740841377,0.030533220325017776
